schwebung 19.2cm
24.385 1.526 1.052
24.410 1.549 1.319
24.435 1.504 1.587
24.460 1.504 1.805
24.485 1.371 1.975
24.510 1.349 2.170
24.535 1.260 2.437
24.560 1.127 2.607
24.585 0.927 2.826
24.610 0.860 2.947
24.635 0.683 3.117
24.660 0.572 3.215
24.685 0.372 3.312
24.710 0.172 3.409
24.735 -0.028 3.555
24.760 -0.205 3.531
24.785 -0.472 3.555
24.810 -0.627 3.603
24.835 -0.893 3.506
24.860 -1.071 3.458
24.885 -1.226 3.409
24.910 -1.426 3.263
24.935 -1.626 3.190
24.960 -1.759 3.045
24.985 -1.959 2.850
25.010 -2.114 2.656
25.035 -2.225 2.510
25.060 -2.381 2.267
25.085 -2.514 2.048
25.110 -2.558 1.781
25.135 -2.669 1.587
25.160 -2.669 1.222
25.185 -2.736 1.003
25.210 -2.669 0.736
25.235 -2.669 0.469
25.260 -2.625 0.201
25.285 -2.603 -0.017
25.310 -2.492 -0.187
25.335 -2.425 -0.430
25.360 -2.270 -0.673
25.385 -2.181 -0.868
25.410 -2.048 -1.062
25.435 -1.915 -1.184
25.460 -1.759 -1.354
25.485 -1.559 -1.451
25.510 -1.360 -1.572
25.535 -1.204 -1.621
25.560 -1.004 -1.670
25.585 -0.782 -1.670
25.610 -0.560 -1.645
25.635 -0.405 -1.621
25.660 -0.250 -1.548
25.685 -0.050 -1.451
25.710 0.172 -1.329
25.735 0.328 -1.159
25.760 0.505 -0.989
25.785 0.683 -0.843
25.810 0.816 -0.673
25.835 0.949 -0.382
25.860 1.038 -0.163
25.885 1.149 0.129
25.910 1.260 0.347
25.935 1.260 0.615
25.960 1.327 0.930
25.985 1.349 1.222
26.010 1.349 1.514
26.035 1.282 1.805
26.060 1.327 2.048
26.085 1.171 2.291
26.110 1.105 2.534
26.135 0.971 2.826
26.160 0.883 3.020
26.185 0.727 3.215
26.210 0.616 3.385
26.235 0.461 3.603
26.260 0.283 3.676
26.285 0.083 3.822
26.310 -0.005 3.895
26.335 -0.227 3.968
