E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_8 / keV	N_8
12.87	0	12.87	3	12.87	10	12.87	72	12.87	2	12.87	2	12.87	1
12.93	0	12.93	3	12.93	11	12.93	84	12.93	3	12.93	0	12.93	3
13.00	0	13.00	4	13.00	10	13.00	70	13.00	3	13.00	2	13.00	3
13.07	0	13.07	4	13.07	9	13.07	86	13.07	2	13.07	1	13.07	1
13.13	3	13.13	6	13.13	9	13.13	61	13.13	2	13.13	1	13.13	2
13.20	0	13.20	3	13.20	8	13.20	65	13.20	3	13.20	1	13.20	2
13.27	0	13.27	8	13.27	8	13.27	40	13.27	1	13.27	0	13.27	2
13.33	0	13.33	6	13.33	10	13.33	30	13.33	2	13.33	0	13.33	5
13.40	1	13.40	8	13.40	10	13.40	30	13.40	0	13.40	2	13.40	0
13.46	0	13.46	7	13.46	13	13.46	16	13.46	2	13.46	0	13.46	4
13.53	0	13.53	10	13.53	14	13.53	17	13.53	0	13.53	0	13.53	1
13.60	1	13.60	3	13.60	8	13.60	8	13.60	2	13.60	0	13.60	1
13.66	1	13.66	4	13.66	15	13.66	7	13.66	0	13.66	0	13.66	4
13.73	0	13.73	4	13.73	13	13.73	5	13.73	2	13.73	1	13.73	3
13.80	1	13.80	7	13.80	14	13.80	4	13.80	1	13.80	0	13.80	0
13.86	0	13.86	2	13.86	15	13.86	2	13.86	1	13.86	1	13.86	2
13.93	2	13.93	4	13.93	10	13.93	8	13.93	0	13.93	2	13.93	1
14.00	0	14.00	7	14.00	11	14.00	1	14.00	2	14.00	0	14.00	1
14.06	0	14.06	7	14.06	9	14.06	1	14.06	1	14.06	2	14.06	0
14.13	1	14.13	7	14.13	22	14.13	5	14.13	0	14.13	0	14.13	1
14.20	1	14.20	3	14.20	11	14.20	8	14.20	2	14.20	0	14.20	0
14.26	1	14.26	2	14.26	10	14.26	3	14.26	1	14.26	0	14.26	2
14.33	0	14.33	3	14.33	17	14.33	3	14.33	1	14.33	1	14.33	2
14.40	1	14.40	5	14.40	17	14.40	6	14.40	1	14.40	2	14.40	1
